sample	input	surviving	dropped
WYSL02	1447627	766896	680731
WYSL03	642364	506179	136185
WYSL04	1556355	1238697	317658
WYSL05	1943237	1091531	851706
WYSL06	3314341	2617940	696401
WYSL07	4644706	3423037	1221669
WYSL08	3562569	2841638	720931
WYSL09	4993348	3404134	1589214
WYSL10	4027786	3255051	772735
WYSL11	2143426	1450154	693272
WYSL12	1331931	719731	612200
WYSL13	39166	11	39155
WYSL14	3989	3083	906
WYSL15	18623	12513	6110
WYSL16	207132	15615	191517
WYSL17	3543068	2637578	905490
WYSL18	2411539	1900997	510542
WYSL19	2428355	1998955	429400
WYSL21	4183959	2403634	1780325
WYSL22	12646	925	11721
WYSL23	2061101	1620780	440321
WYSL24	3967712	2712735	1254977
WYSL25	2687012	2131099	555913
WYSL27	4012926	2940503	1072423
WYSL28	759884	538526	221358
WYSL29	4604158	3584143	1020015
WYSL30	4417555	3367891	1049664
WYSL31	2394870	1844011	550859
WYSM10	586763	433923	152840
WYSM29	6610	5746	864
WYSM30	2382856	1469488	913368
WYSM31	1072	877	195
WYSM32	1661	1061	600
WYSM33	9240	7698	1542
WYSM34	603	417	186
WYSM35	265	168	97
WYSM36	3156308	2521827	634481
WYSM37	528	368	160
WYSM38	2063141	1376932	686209
WYSM39	3428452	2103857	1324595
WYSM40	2727288	1932974	794314
WYSM41	2380776	1826468	554308
WYSM42	916020	732250	183770
WYSM43	1639974	1027206	612768
WYSM55	1849475	1342765	506710
WYSM68	2295472	1433303	862169
WYSM69	3593700	2731020	862680
