wormbase_ID,WT,nekl-2(fd90),nekl-3(gk506)
WBGene00000001,423,515,597
WBGene00000002,436,516,541
WBGene00000003,214,129,153
WBGene00000004,803,924,1158
WBGene00000005,159,63,39
WBGene00000006,951,1117,1335
WBGene00000007,195,68,44
WBGene00000008,3,9,2
WBGene00000009,25,21,13
WBGene00000010,455,481,519
WBGene00000012,4,4,8
WBGene00000013,47,8,11
WBGene00000014,0,0,0
WBGene00000015,0,11,5
WBGene00000016,71,252,298
WBGene00000017,94,345,464
WBGene00000018,732,1033,1238
WBGene00000019,1,4,1
WBGene00000020,1042,1261,1150
WBGene00000021,0,1,0
WBGene00000022,659,1022,1161
WBGene00000023,7,6,10
WBGene00000024,0,3,3
WBGene00000025,0,0,0
WBGene00000026,0,0,1
WBGene00000027,2,1,0
WBGene00000028,0,0,0
WBGene00000029,0,1,0
WBGene00000030,1,3,4
WBGene00000031,0,28,17
WBGene00000032,0,0,0
WBGene00000033,0,5,3
WBGene00000034,3,6,17
WBGene00000035,138,328,288
WBGene00000036,492,1002,988
WBGene00000037,233,301,333
WBGene00000038,51,95,132
WBGene00000039,11185,4380,3249
WBGene00000040,8534,8682,8575
WBGene00000041,10027,15298,18473
WBGene00000042,36,71,81
WBGene00000043,22,22,16
WBGene00000044,35,43,56
WBGene00000045,5,8,22
WBGene00000046,9,48,33
WBGene00000047,228,180,159
WBGene00000048,16,8,19
WBGene00000049,18,26,18
WBGene00000050,31,36,39
WBGene00000051,54,77,66
WBGene00000053,11,12,29
WBGene00000054,88,75,96
WBGene00000055,111,112,87
WBGene00000056,24,35,42
WBGene00000057,53,54,36
WBGene00000058,39,67,119
WBGene00000059,26,67,43
WBGene00000060,58,62,68
WBGene00000061,15,60,48
WBGene00000062,51,77,56
WBGene00000063,5134,7506,9523
WBGene00000064,8022,10691,14218
WBGene00000065,4102,5607,6813
WBGene00000066,40898,70437,79933
WBGene00000067,21036,11928,10876
WBGene00000068,441,646,673
WBGene00000069,92,139,119
WBGene00000070,1028,889,861
WBGene00000071,137,172,162
WBGene00000072,190,543,772
WBGene00000073,276,706,901
WBGene00000074,693,3208,4488
WBGene00000075,274,282,303
WBGene00000079,1238,1171,1191
WBGene00000080,379,409,487
WBGene00000081,3179,3690,3732
WBGene00000082,121,93,102
WBGene00000083,3302,4694,4721
WBGene00000084,96,166,151
WBGene00000085,28,56,50
WBGene00000086,345,474,611
WBGene00000088,477,622,670
