gene_id,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
NM_001177465|MAMLD1,0,0,0,0,0,0,0,0,0,0,0,0
NR_029427|WDR13,0,0,54,211,204,47,177,165,177,112,169,191
NM_001242640|BRCC3,401,495,574,520,614,83,737,304,737,313,358,312
NM_001303516|PDZD4,0,0,0,0,0,0,0,0,0,0,0,0
NM_001170757|FAM122B,865,470,462,0,271,94,342,295,342,306,403,127
NM_001185081|FMR1,0,95,0,0,346,0,82,294,82,0,0,0
NM_001356|DDX3X,102,879,432,203,239,44,312,37,312,336,32,129
NM_001177651|SLC9A6,0,0,671,0,850,0,0,0,0,0,289,495
NM_001168361|PCDH11X,0,0,0,0,0,0,0,0,0,0,0,0
NM_001282146|NLGN4X,0,0,0,0,0,0,0,0,0,0,0,0
NM_153478|CSAG1,0,0,0,0,0,0,0,0,0,0,0,0
NR_046638|PCYT1B-AS1,0,0,0,0,0,0,0,0,0,0,0,0
NM_000489|ATRX,4909,5921,1946,1260,4098,1692,3919,3632,3919,3278,2501,4259
NM_001002916|H2BFWT,0,0,0,0,4,0,0,0,0,0,0,0
NM_138636|TLR8,0,3,0,0,0,0,0,0,0,0,0,0
NR_073432|CSAG4,0,0,0,0,0,0,0,0,0,0,0,0
NM_016378|VCX2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001204526|SSR4,347,479,0,37,267,639,268,162,268,0,393,441
NM_001291415|KDM6A,776,0,289,240,0,284,0,0,0,572,0,242
NR_046632|NHS-AS1,0,0,0,0,0,0,0,0,0,0,0,0
NM_002578|PAK3,0,2,0,0,0,0,0,0,0,0,0,0
NM_000116|TAZ,432,430,598,207,286,130,562,389,562,282,263,468
NM_016024|RBMX2,1626,1843,1453,1072,1356,765,1849,1752,1849,1164,1292,1430
NM_001025243|IRAK1,234,0,0,0,171,298,0,118,0,0,131,0
