Fish code,Species,Site,Date,Weight (g),Fork length (cm)
C01,Coho,RK17,11/10/92,13.2,10.2
C02,Coho,RK17,11/10/92,5.8,7.9
C03,Coho,RT02,11/18/92,8.6,8.9
C04,Coho,RT02,11/18/92,11.8,9.8
C05,Coho,RT02,11/18/92,5,7.7
C06,Coho,RT02,11/18/92,5.3,8.1
C07,Coho,RK17,11/9/92,1.4,4.8
C08,Coho,RK17,11/9/92,1,4.6
C09,Coho,RK13,11/13/92,2.6,5.9
C100,Coho,RK09,6/29/93,3.6,6.9
C101,Coho,RK09,6/29/93,3.1,6.5
C102,Coho,RK09,6/29/93,3.6,6.6
C103,Coho,RK09,6/29/93,3.4,6.6
C104,Coho,RK09,6/29/93,2.5,6.2
C105,Coho,RK09,6/29/93,1.8,5.3
C106,COHO,RK07,5/19/93,7.3,9.6
C107,Coho,RK07,5/19/93,4.3,8.2
C108,Coho,RK07,5/19/93,4.6,8
C109,Coho,RT19,6/19/93,0.3,3.7
C11,Coho,RK17,11/11/92,9.2,8.9
C110,Coho,RT19,6/19/93,0.2,3.3
C111,Coho,BP01R,5/15/93,0.3,3.2
C112,Coho,BP01R,5/16/93,0.2,3.6
C113,Coho,BP01R,5/16/93,0.2,3.8
C114,Coho,RP02,5/25/93,3.1,7.3
C115,Coho,RP02,5/25/93,3.9,8.8
C116,Coho,RW04,6/13/93,0.5,4.6
C117,Coho,RT03,5/19/93,8.9,10.2
C118,Coho,RT03,5/19/93,3.3,7.5
C119,Coho,BP01R,5/17/93,4.5,8.8
C12,Coho,RK17,11/11/92,2,5.7
C120,Coho,BP01R,5/17/93,2,6.8
C121,Coho,RP06BP,5/27/93,0.2,3.3
C122,Coho,RP06BP,5/27/93,4.7,8.1
C123,Coho,RP06BP,5/27/93,2,6.6
C124,Coho,RP06BP,5/27/93,1.5,5.6
C125,Coho,BP01BP,5/15/93,3.5,8.4
C126,Coho,BP01BP,5/15/93,3.3,7.6
C127,Coho,RT02R,5/16/93,4.8,9.1
C128,Coho,RT02R,5/16/93,7.9,10.8
C129,Coho,RP06BP,11/12/93,6.2,8.6
C130,Coho,RP06BP,11/12/93,1,4.3
C131,Coho,RP06BP,11/12/93,2.7,6.6
C132,Coho,RT02R,11/8/93,0.6,4
C133,Coho,RP03BP,11/12/93,14.8,11
