Fish code,del13C,Std. error,del15N,Std. error
C01,-23.08,0,13.56,0.04
C02,-22.82,0.11,13.04,0.16
C03,-22.44,0.11,14.08,0.13
C04,-21.69,0.09,14.01,0.11
C05,-27.27,0,9.2,0.03
C06,-23.56,0,12.84,0
C07,-23.19,0,11.96,0.04
C08,-22.59,0.12,12.93,0.04
C09,-23.01,0,13.33,0.04
C10,-23.39,0.04,12.98,0.03
C100,-26.52,0.06,10.98,0.02
C101,-21.86,0.12,10.99,0.05
C102,-24.87,0.12,12,0.11
C103,-23.17,0.08,13.06,0.05
C104,-24.38,0.03,11.75,0.04
C105,-23.72,0.02,11.13,0.09
C106,-21.31,0.06,13.98,0.01
C107,-23.74,0.01,11.55,0.04
C108,-25.53,0.01,11.3,0.12
C109,-21.49,0.01,15.26,0.16
C11,-22.63,0.13,13.44,0.04
C110,-20.83,0.12,15.9,0.11
C111,-21,0.01,15.22,0.06
C112,-22.66,0.02,14.7,0.09
C113,-22.21,0.01,14.33,0.04
C114,-21.92,0.01,13.64,0.08
C115,-24.79,0.04,10.15,0.12
C116,-25.1,0.05,8.53,0.04
C117,-28.67,0.01,10.19,0.09
C118,-22.66,0.08,14.56,0.11
C119,-22.73,0.02,13.83,0.09
C12,-21.67,0.08,13.85,0.08
C120,-21.04,0.01,14.46,0.05
C121,-21.87,0.01,14.16,0.1
C122,-24.01,0.01,11.95,0.07
C123,-25.54,0.09,11.04,0.16
C124,-25.68,0.01,11.06,0.15
C125,-25.05,0.14,9.81,0.11
C126,-26.08,0.01,8.38,0.16
C127,-23.49,0.09,13.41,0.12
C128,-22.21,0.1,13.56,0.02
C129,-26.41,0.02,9.76,0.14
C130,-25.34,0.04,10.95,0.09
C131,-24.47,0.01,11.12,0.01
C132,-21.93,0.04,12.25,0.14
C133,-33.71,0.01,9.69,0.09
C134,-32.89,0.01,9.03,0.08
C135,-24.14,0.1,12.81,0.02
C136,-23.87,0.18,12.42,0.16
C137,-22.25,0.11,13.42,0.08
C138,-24.57,0.01,12.78,0.06
C139,-23.34,0.04,12.87,0.01
C14,-23.64,0.12,13.02,0.11
C140,-24.22,0.06,12.52,0.09
C141,-23.25,0.04,12.86,0.12
C142,-25.16,0.09,10.75,0.11
C143,-22.55,0.13,15,0.11
C144,-22.57,0.01,15.19,0.12
C145,-22.07,0.15,13.81,0.11
C146,-22.54,0.02,13.05,0.11
C147,-23.24,0.03,13.14,0.04
C148,-23.16,0.04,12.46,0.11
C149,-23.9,0.01,12.26,0.16
C15,-23.96,0.11,11.92,0.11
C150,-23.34,0.16,13.03,0.04
C151,-22.61,0.03,12.39,0.13
C152,-23.17,0.04,12.85,0.07
C153,-22.41,0.04,13.03,0.13
C154,-22.44,0.06,13.92,0.05
C155,-22.92,0.11,13.82,0.01
C156,-26.18,0.04,11.1,0.11
C157,-31.11,0.06,8.56,0.05
C158,-32.15,0.06,9.09,0.08
C159,-22.38,0.06,12.43,0.13
C16,-23.56,0.12,12.81,0.02
C160,-21.36,0.09,13.91,0.1
C161,-21.92,0.06,13.39,0.09
C162,-24.73,0.03,9.43,0.13
C163,-23.26,0.01,13.37,0.01
C164,-25.91,0.12,9.39,0.06
C165,-22.12,0.02,14.79,0.13
C166,-24.95,0.03,9.75,0.11
C167,-22.07,0.09,13.67,0.18
C168,-23.42,0.01,12.02,0.16
C169,-22.68,0.01,13.01,0.1
C17,-23.12,0.01,13.74,0.04
C170,-22.85,0.08,12.95,0.04
C171,-21.48,0.13,13.87,0.11
C172,-21.93,0.14,13.97,0.16
C173,-29.24,0.08,9.7,0.06
C174,-23.11,0.08,11.62,0.04
C175,-31.45,0.01,9.67,0.14
C176,-22.62,0.13,13.44,0.13
C177,-23.01,0.06,11.6,0.14
C178,-26.1,0.09,8.45,0.16
C179,-23.22,0.11,10.98,0
C18,-23.19,0.1,12.31,0.06
C180,-25.77,0.06,9.77,0.01
C181,-21.91,0.12,13.53,0.11
C182,-23.24,0.09,13.5,0.06
C183,-23.06,0.09,14.36,0.06
C184,-25.37,0.09,11.45,0.11
C185,-23.78,0.06,13.3,0.09
C186,-24.95,0.12,9.26,0.03
C187,-24.78,0.09,9.46,0.05
C188,-25.46,0.01,11.05,0.02
C189,-22.08,0.03,12.18,0.03
C19,-22.68,0.06,13.95,0.05
C190,-21.98,0.04,13.66,0.11
C191,-24.85,0.04,10.95,0.08
C192,-22.21,0.13,13.76,0.02
C193,-23,0.04,13.96,0.01
C194,-21.64,0.08,13.92,0
C195,-22.53,0.09,12.96,0.01
C196,-26.92,0,10.31,0.01
C20,-23.14,0,12.55,0.04
C21,-23.45,0.13,13.11,0.18
C22,-22.33,0.12,13.11,0.06
C23,-23.57,0.06,11.82,0.1
C24,-25.36,0.13,9.78,0.08
C25,-22.65,0.01,13.32,0.05
C26,-23.03,0.11,12.74,0.12
C27,-23.86,0.11,11.57,0.09
C28,-22.49,0.13,13.19,0.01
C29,-22.71,0.04,13.2,0.12
C30,-22.7,0.04,13.92,0.09
C31,-22.63,0.07,13.12,0.16
C32,-21.59,0.12,13.86,0.17
C33,-22.76,0.01,13.02,0.01
C34,-22.94,0.13,11.22,0.03
C36,-22.25,0.11,14.16,0.03
C37,-23.38,0.04,10.97,0.1
C38,-24.04,0.04,10.18,0.06
C40,-24.48,0.12,8.73,0.11
C41,-24.23,0.11,10.79,0.1
C42,-24.27,0.06,8.76,0.02
C43,-22.99,0.05,10.97,0.07
C44,-24.27,0.04,10.76,0.02
C45,-22.72,0.01,11.19,0.05
C46,-22.62,0.02,12.07,0.02
C47,-22.99,0.1,11.29,0.12
C49,-22.77,0.04,12.25,0.05
C50,-23.02,0.03,12.64,0.08
C51,-25.96,0.12,9.72,0.09
C52,-23.45,0.07,12.04,0.07
C53,-22.95,0.06,12.45,0.05
C54,-25.51,0.13,8.2,0.14
C55,-26.64,0.04,9.48,0.01
C56,-23.53,0.11,11.81,0
C57,-23.75,0.01,12.09,0.04
C58,-22.83,0.11,13.04,0.02
C59,-22.4,0.02,12.72,0.06
C60,-24.97,0.05,10.36,0.01
C61,-23.89,0.02,11.17,0.18
C62,-24.21,0.03,12.85,0.03
C63,-24.82,0.11,10.79,0.04
C64,-22.23,0.04,14.5,0.06
C65,-29.41,0.01,8.95,0.11
C66,-25.26,0.04,11.04,0.05
C67,-26.49,0.16,9.6,0.14
C68,-25.43,0.04,10.57,0.01
C69,-27.54,0.06,11.19,0.03
C70,-21.33,0.11,14.34,0.09
C71,-20.98,0.15,14.79,0.12
C72,-22.32,0.06,13.41,0.18
C73,-29.56,0.11,10.06,0.13
C74,-25.04,0.01,10.47,0.11
C75,-26.62,0.09,10.64,0.1
C76,-24.54,0.03,10.91,0.02
C77,-21.39,0.13,14.89,0.06
C78,-22.86,0.01,12.97,0.09
C79,-22.13,0.13,13.32,0
C80,-21.65,0.08,13.93,0.04
C81,-22.2,0.06,13.2,0.05
C82,-22.33,0.14,13.77,0
C83,-23.96,0.11,9.85,0.16
C84,-24.53,0.11,10.39,0.06
C85,-24.08,0.08,10.59,0.15
C86,-23.48,0.11,11.29,0.11
C87,-22.65,0.01,12.01,0.09
C88,-20.97,0.05,15.82,0.03
C89,-22.47,0.08,14.33,0.06
C90,-23.53,0.08,13.78,0.06
C91,-21.97,0.01,12.78,0.07
C92,-24.38,0.05,11.34,0.11
C93,-24.82,0.01,10.72,0.13
C94,-24.15,0.11,12.67,0.09
C95,-20.76,0.03,14.35,0.01
C96,-24.7,0.01,12.69,0.02
C97,-22.55,0.01,12.82,0.01
C98,-25.17,0.14,11.25,0.13
C99,-24.16,0.06,11.27,0.09
Ch01,-20.01,0.07,12.65,0.11
Ch02,-20.74,0.06,12.49,0.02
Ch03,-21.22,0.03,11.61,0.09
