Fish code,Species,Site,Date,del13C,Std. error,del15N,Std. error
C01,Coho,RK17,11/10/92,-23.08,0,13.56,0.04
C02,Coho,RK17,11/10/92,-22.82,0.11,13.04,0.16
C03,Coho,RT02,11/18/92,-22.44,0.11,14.08,0.13
C04,Coho,RT02,11/18/92,-21.69,0.09,14.01,0.11
C05,Coho,RT02,11/18/92,-27.27,0,9.2,0.03
C06,Coho,RT02,11/18/92,-23.56,0,12.84,0
C07,Coho,RK17,11/9/92,-23.19,0,11.96,0.04
C08,Coho,RK17,11/9/92,-22.59,0.12,12.93,0.04
C09,Coho,RK13,11/13/92,-23.01,0,13.33,0.04
C10,Coho,RK13,11/13/92,-23.39,0.04,12.98,0.03
C100,Coho,RK09,6/29/93,-26.52,0.06,10.98,0.02
C101,Coho,RK09,6/29/93,-21.86,0.12,10.99,0.05
C102,Coho,RK09,6/29/93,-24.87,0.12,12,0.11
C103,Coho,RK09,6/29/93,-23.17,0.08,13.06,0.05
C104,Coho,RK09,6/29/93,-24.38,0.03,11.75,0.04
C105,Coho,RK09,6/29/93,-23.72,0.02,11.13,0.09
C106,Coho,RK07,5/19/93,-21.31,0.06,13.98,0.01
C107,Coho,RK07,5/19/93,-23.74,0.01,11.55,0.04
C108,Coho,RK07,5/19/93,-25.53,0.01,11.3,0.12
C109,Coho,RT19,6/19/93,-21.49,0.01,15.26,0.16
C11,Coho,RK17,11/11/92,-22.63,0.13,13.44,0.04
C110,Coho,RT19,6/19/93,-20.83,0.12,15.9,0.11
C111,Coho,BP01R,5/15/93,-21,0.01,15.22,0.06
C112,Coho,BP01R,5/16/93,-22.66,0.02,14.7,0.09
C113,Coho,BP01R,5/16/93,-22.21,0.01,14.33,0.04
C114,Coho,RP02,5/25/93,-21.92,0.01,13.64,0.08
C115,Coho,RP02,5/25/93,-24.79,0.04,10.15,0.12
C116,Coho,RW04,6/13/93,-25.1,0.05,8.53,0.04
C117,Coho,RT03,5/19/93,-28.67,0.01,10.19,0.09
C118,Coho,RT03,5/19/93,-22.66,0.08,14.56,0.11
C119,Coho,BP01R,5/17/93,-22.73,0.02,13.83,0.09
C12,Coho,RK17,11/11/92,-21.67,0.08,13.85,0.08
C120,Coho,BP01R,5/17/93,-21.04,0.01,14.46,0.05
C121,Coho,RP06BP,5/27/93,-21.87,0.01,14.16,0.1
C122,Coho,RP06BP,5/27/93,-24.01,0.01,11.95,0.07
C123,Coho,RP06BP,5/27/93,-25.54,0.09,11.04,0.16
C124,Coho,RP06BP,5/27/93,-25.68,0.01,11.06,0.15
C125,Coho,BP01BP,5/15/93,-25.05,0.14,9.81,0.11
C126,Coho,BP01BP,5/15/93,-26.08,0.01,8.38,0.16
C127,Coho,RT02R,5/16/93,-23.49,0.09,13.41,0.12
C128,Coho,RT02R,5/16/93,-22.21,0.1,13.56,0.02
C129,Coho,RP06BP,11/12/93,-26.41,0.02,9.76,0.14
C130,Coho,RP06BP,11/12/93,-25.34,0.04,10.95,0.09
C131,Coho,RP06BP,11/12/93,-24.47,0.01,11.12,0.01
C132,Coho,RT02R,11/8/93,-21.93,0.04,12.25,0.14
C133,Coho,RP03BP,11/12/93,-33.71,0.01,9.69,0.09
C134,Coho,RP03BP,11/12/93,-32.89,0.01,9.03,0.08
C135,Coho,RP03BP,11/12/93,-24.14,0.1,12.81,0.02
C136,Coho,RP03BP,11/12/93,-23.87,0.18,12.42,0.16
C137,Coho,RK14,11/6/93,-22.25,0.11,13.42,0.08
C138,Coho,RK14,11/6/93,-24.57,0.01,12.78,0.06
C139,Coho,RK14,11/6/93,-23.34,0.04,12.87,0.01
C14,Coho,RK13,11/14/92,-23.64,0.12,13.02,0.11
C140,Coho,RK11,11/4/93,-24.22,0.06,12.52,0.09
C141,Coho,RK11,11/4/93,-23.25,0.04,12.86,0.12
C142,Coho,RK11,11/4/93,-25.16,0.09,10.75,0.11
C143,Coho,RT02-BP,11/7/93,-22.55,0.13,15,0.11
C144,Coho,RT02-BP,11/7/93,-22.57,0.01,15.19,0.12
C145,Coho,RT02-BP,11/7/93,-22.07,0.15,13.81,0.11
C146,Coho,RT02-BP,11/7/93,-22.54,0.02,13.05,0.11
C147,Coho,RT02-BP,11/7/93,-23.24,0.03,13.14,0.04
C148,Coho,RP06,11/12/93,-23.16,0.04,12.46,0.11
C149,Coho,RP06,11/12/93,-23.9,0.01,12.26,0.16
C15,Coho,RK13,11/14/92,-23.96,0.11,11.92,0.11
C150,Coho,RP06,11/12/93,-23.34,0.16,13.03,0.04
C151,Coho,RP06,11/12/93,-22.61,0.03,12.39,0.13
C152,Coho,RT02-R,11/7/93,-23.17,0.04,12.85,0.07
C153,Coho,RT02-R,11/7/93,-22.41,0.04,13.03,0.13
C154,Coho,RT02-R,11/7/93,-22.44,0.06,13.92,0.05
C155,Coho,RT02-R,11/7/93,-22.92,0.11,13.82,0.01
C156,Coho,RK14,11/6/93,-26.18,0.04,11.1,0.11
C157,Coho,RT03,4/8/93,-31.11,0.06,8.56,0.05
C158,Coho,RT03,4/8/93,-32.15,0.06,9.09,0.08
C159,Coho,RT03,4/21/93,-22.38,0.06,12.43,0.13
C16,Coho,RK13,11/14/92,-23.56,0.12,12.81,0.02
C160,Coho,RT02,4/19/93,-21.36,0.09,13.91,0.1
C161,Coho,RT02,4/19/93,-21.92,0.06,13.39,0.09
C162,Coho,RT02,4/19/93,-24.73,0.03,9.43,0.13
C163,Coho,RT02,4/19/93,-23.26,0.01,13.37,0.01
C164,Coho,RT02,4/19/93,-25.91,0.12,9.39,0.06
C165,Coho,BP02-R,4/19/93,-22.12,0.02,14.79,0.13
C166,Coho,BP02-R,4/19/93,-24.95,0.03,9.75,0.11
C167,Coho,BP02-R,4/19/93,-22.07,0.09,13.67,0.18
C168,Coho,BP02-R,4/19/93,-23.42,0.01,12.02,0.16
C169,Coho,RK02,4/19/93,-22.68,0.01,13.01,0.1
C17,Coho,RK13,11/12/92,-23.12,0.01,13.74,0.04
C170,Coho,RK02,4/19/93,-22.85,0.08,12.95,0.04
C171,Coho,RK02,4/19/93,-21.48,0.13,13.87,0.11
C172,Coho,RT03,4/20/93,-21.93,0.14,13.97,0.16
C173,Coho,RP06,4/9/93,-29.24,0.08,9.7,0.06
C174,Coho,RP06,4/9/93,-23.11,0.08,11.62,0.04
C175,Coho,RT03,4/8/93,-31.45,0.01,9.67,0.14
C176,Coho,RK32,10/27/93,-22.62,0.13,13.44,0.13
C177,Coho,RK09,10/24/93,-23.01,0.06,11.6,0.14
C178,Coho,RK32,10/26/93,-26.1,0.09,8.45,0.16
C179,Coho,RK32,10/26/93,-23.22,0.11,10.98,0
C18,Coho,RK13,11/12/92,-23.19,0.1,12.31,0.06
C180,Coho,RK32,10/26/93,-25.77,0.06,9.77,0.01
C181,Coho,RK32,10/26/93,-21.91,0.12,13.53,0.11
C182,Coho,RK32,10/26/93,-23.24,0.09,13.5,0.06
C183,Coho,RK32,10/26/93,-23.06,0.09,14.36,0.06
C184,Coho,RK32,10/25/93,-25.37,0.09,11.45,0.11
C185,Coho,RK32,10/25/93,-23.78,0.06,13.3,0.09
C186,Coho,RK32,10/25/93,-24.95,0.12,9.26,0.03
C187,Coho,RK32,10/25/93,-24.78,0.09,9.46,0.05
C188,Coho,BP04,10/23/93,-25.46,0.01,11.05,0.02
C189,Coho,BP04,10/23/93,-22.08,0.03,12.18,0.03
C19,Coho,RT16,11/17/92,-22.68,0.06,13.95,0.05
C190,Coho,BP04,10/23/93,-21.98,0.04,13.66,0.11
C191,Coho,BP04,10/23/93,-24.85,0.04,10.95,0.08
C192,Coho,RK09,10/22/93,-22.21,0.13,13.76,0.02
C193,Coho,RK09,10/22/93,-23,0.04,13.96,0.01
C194,Coho,RK09,10/22/93,-21.64,0.08,13.92,0
C195,Coho,BP04,10/24/93,-22.53,0.09,12.96,0.01
C196,Coho,RK09,10/25/93,-26.92,0,10.31,0.01
C20,Coho,RT16,11/17/92,-23.14,0,12.55,0.04
C21,Coho,RK06,11/9/92,-23.45,0.13,13.11,0.18
C22,Coho,RK06,11/9/92,-22.33,0.12,13.11,0.06
C23,Coho,RK06,11/10/92,-23.57,0.06,11.82,0.1
C24,Coho,RK06,11/10/92,-25.36,0.13,9.78,0.08
C25,Coho,RK06,11/10/92,-22.65,0.01,13.32,0.05
C26,Coho,RK06,11/10/92,-23.03,0.11,12.74,0.12
C27,Coho,RK06,11/10/92,-23.86,0.11,11.57,0.09
C28,Coho,RK06,11/10/92,-22.49,0.13,13.19,0.01
C29,Coho,RK06,11/10/92,-22.71,0.04,13.2,0.12
C30,Coho,RK04,11/1/92,-22.7,0.04,13.92,0.09
C31,Coho,RK04,11/1/92,-22.63,0.07,13.12,0.16
C32,Coho,BA,8/7/92,-21.59,0.12,13.86,0.17
C33,Coho,BA,8/7/92,-22.76,0.01,13.02,0.01
C34,Coho,BA,8/7/92,-22.94,0.13,11.22,0.03
C36,Coho,RT03,11/17/92,-22.25,0.11,14.16,0.03
C37,Coho,RK05,6/13/92,-23.38,0.04,10.97,0.1
C38,Coho,RK05,6/13/92,-24.04,0.04,10.18,0.06
C40,Coho,RK11,6/22/92,-24.48,0.12,8.73,0.11
C41,Coho,RK11,6/22/92,-24.23,0.11,10.79,0.1
C42,Coho,RK11,6/22/92,-24.27,0.06,8.76,0.02
C43,Coho,RK05,6/12/92,-22.99,0.05,10.97,0.07
C44,Coho,RK05,6/12/92,-24.27,0.04,10.76,0.02
C45,Coho,RK05,6/12/92,-22.72,0.01,11.19,0.05
C46,Coho,RK05,6/12/92,-22.62,0.02,12.07,0.02
C47,Coho,RK05,6/12/92,-22.99,0.1,11.29,0.12
C49,Coho,RK17,6/29/92,-22.77,0.04,12.25,0.05
C50,Coho,RK17,6/29/92,-23.02,0.03,12.64,0.08
C51,Coho,RK17,6/29/92,-25.96,0.12,9.72,0.09
C52,Coho,RK17,6/29/92,-23.45,0.07,12.04,0.07
C53,Coho,RK17,6/29/92,-22.95,0.06,12.45,0.05
C54,Coho,RK16,6/21/92,-25.51,0.13,8.2,0.14
C55,Coho,RK16,6/21/92,-26.64,0.04,9.48,0.01
C56,Coho,RT03,6/23/92,-23.53,0.11,11.81,0
C57,Coho,RT03,6/23/92,-23.75,0.01,12.09,0.04
C58,Coho,RT03,6/23/92,-22.83,0.11,13.04,0.02
C59,Coho,RT03,6/23/92,-22.4,0.02,12.72,0.06
C60,Coho,RT03,6/23/92,-24.97,0.05,10.36,0.01
C61,Coho,RT12,7/1/92,-23.89,0.02,11.17,0.18
C62,Coho,RT12,7/1/92,-24.21,0.03,12.85,0.03
C63,Coho,RT12,7/1/92,-24.82,0.11,10.79,0.04
C64,Coho,RT12,7/1/92,-22.23,0.04,14.5,0.06
C65,Coho,RT02,6/18/92,-29.41,0.01,8.95,0.11
C66,Coho,RT02,6/18/92,-25.26,0.04,11.04,0.05
C67,Coho,RT02,6/18/92,-26.49,0.16,9.6,0.14
C68,Coho,RT02,6/18/92,-25.43,0.04,10.57,0.01
C69,Coho,RT02,6/18/92,-27.54,0.06,11.19,0.03
C70,Coho,RT02,6/18/92,-21.33,0.11,14.34,0.09
C71,Coho,RT02,6/18/92,-20.98,0.15,14.79,0.12
C72,Coho,RP02,4/7/93,-22.32,0.06,13.41,0.18
C73,Coho,RP02,4/7/93,-29.56,0.11,10.06,0.13
C74,Coho,BP02,3/30/93,-25.04,0.01,10.47,0.11
C75,Coho,BP02,3/30/93,-26.62,0.09,10.64,0.1
C76,Coho,BP02,3/30/93,-24.54,0.03,10.91,0.02
C77,Coho,RK14,4/4/93,-21.39,0.13,14.89,0.06
C78,Coho,RK14,4/4/93,-22.86,0.01,12.97,0.09
C79,Coho,RK14,4/4/93,-22.13,0.13,13.32,0
C80,Coho,RT02R,4/20/93,-21.65,0.08,13.93,0.04
C81,Coho,RT02R,4/20/93,-22.2,0.06,13.2,0.05
C82,Coho,RT02R,4/20/93,-22.33,0.14,13.77,0
C83,Coho,RW04,6/12/93,-23.96,0.11,9.85,0.16
C84,Coho,RW04,6/12/93,-24.53,0.11,10.39,0.06
C85,Coho,RW04,6/12/93,-24.08,0.08,10.59,0.15
C86,Coho,RW04,6/12/93,-23.48,0.11,11.29,0.11
C87,Coho,RW04,6/12/93,-22.65,0.01,12.01,0.09
C88,Coho,RT19,6/17/93,-20.97,0.05,15.82,0.03
C89,Coho,RT19,6/17/93,-22.47,0.08,14.33,0.06
C90,Coho,RT19,6/17/93,-23.53,0.08,13.78,0.06
C91,Coho,RK09,6/27/93,-21.97,0.01,12.78,0.07
C92,Coho,RK09,6/27/93,-24.38,0.05,11.34,0.11
C93,Coho,RK09,6/27/93,-24.82,0.01,10.72,0.13
C94,Coho,RK09,6/27/93,-24.15,0.11,12.67,0.09
C95,Coho,RK09,6/27/93,-20.76,0.03,14.35,0.01
C96,Coho,RK09,6/27/93,-24.7,0.01,12.69,0.02
C97,Coho,RK09,6/27/93,-22.55,0.01,12.82,0.01
C98,Coho,RK09,6/29/93,-25.17,0.14,11.25,0.13
C99,Coho,RK09,6/29/93,-24.16,0.06,11.27,0.09
Ch01,Chum,RT02R,4/20/93,-20.01,0.07,12.65,0.11
Ch02,Chum,RT02R,4/20/93,-20.74,0.06,12.49,0.02
Ch03,Chum,RT02R,4/20/93,-21.22,0.03,11.61,0.09
Ch04,Chum,RT02R,4/20/93,-21.74,0.03,12.34,0.08
CH05,Chum,BP01R,5/15/93,-21.51,0.09,13.73,0.02
CH06,Chum,BP01R,5/16/93,-20.84,0.01,13.3,0.01
CH07,Chum,BP01R,5/16/93,-20.92,0.04,13.76,0.1
CH08,Chum,RK11,11/4/93,-23.36,0.09,12.12,0.09
CH09,Chum,BP02-R,4/19/93,-20.51,0.14,13.2,0.16
CH10,Chum,BP02-R,4/19/93,-21.15,0.03,12.46,0.04
D01,Dolly varden,RK17,11/9/92,-22.61,0,13.3,0.04
D02,Dolly varden,RK17,11/9/92,-24.14,0.05,11.58,0.14
D03,Dolly varden,RK13,11/12/92,-23.46,0.09,12.28,0.06
D04,Dolly varden,RK13,11/12/92,-23.16,0.16,13.08,0.14
D05,Dolly varden,RT16,11/17/92,-24.05,0,11.9,0.07
D06,Dolly varden,RT16,11/17/92,-23.49,0.01,12.49,0.14
D07,Dolly varden,RK17,11/11/92,-24.29,0.06,11.8,0.14
D08,Dolly varden,RK06,11/9/92,-26.72,0.01,10.22,0
D09,Dolly varden,RK06,11/9/92,-25.52,0.15,9.72,0.07
D10,Dolly varden,BA,8/7/92,-22.95,0.06,12.7,0.1
D100,Dolly,RK09,10/22/93,-30.05,0.04,8.82,0.13
D11,Dolly varden,BA,8/7/92,-21.33,0.01,12.74,0.05
D12,Dolly varden,BA,8/7/92,-23.1,0.04,12.01,0.02
D13,Dolly varden,RK11,6/21/92,-22.43,0.06,12.44,0.12
D14,Dolly varden,RK11,6/21/92,-22.23,0.01,13.3,0.07
D15,Dolly varden,RK11,6/21/92,-23.78,0.02,10.08,0.01
D16,Dolly varden,RK05,6/12/92,-21.72,0.16,13.78,0.09
D17,Dolly varden,RK17,6/29/92,-21.74,0.09,14.28,0.13
D18,Dolly varden,RK17,6/29/92,-22.26,0.03,12.92,0.1
D19,Dolly varden,RK17,6/29/92,-23.78,0.1,11.07,0.13
D20,Dolly varden,RK16,6/21/92,-26.53,0.08,10.4,0.06
D21,Dolly varden,RK16,6/21/92,-24.06,0.05,11.16,0.05
D22,Dolly varden,RK16,6/21/92,-23.47,0.03,11.54,0.06
D23,Dolly varden,RK16,6/21/92,-27.8,0.09,9.47,0.09
D24,Dolly varden,RT03,6/23/92,-23.52,0.07,11.75,0.11
D25,Dolly varden,RT03,6/23/92,-22.63,0.01,12.87,0.09
D26,Dolly varden,RT03,6/23/92,-23.89,0.08,12.13,0.05
D27,Dolly varden,RT12,7/1/92,-21.31,0.05,13.99,0.13
D28,Dolly varden,RT12,7/1/92,-22.52,0.12,12.87,0.01
D29,Dolly varden,RT12,7/1/92,-25.13,0.08,10.13,0.17
D30,Dolly varden,RT12,7/1/92,-21.77,0.18,12.78,0.11
D31,Dolly varden,RT02,6/18/92,-24.52,0.11,10.4,0.1
D32,Dolly varden,RP02,4/7/93,-24.29,0.13,12.82,0
D33,Dolly varden,RP02,4/7/93,-23.85,0.07,11.45,0.1
D34,Dolly varden,RP02,4/7/93,-23.61,0.11,12.9,0.04
D35,Dolly varden,RP02,4/7/93,-23.22,0.04,12.64,0.09
D36,Dolly varden,BP02,3/30/93,-25.96,0.01,9.77,0.15
D37,Dolly varden,BP02,3/30/93,-27.33,0.04,9.61,0.01
D38,Dolly varden,RW04,6/12/93,-25.81,0.11,9.5,0.14
D39,Dolly varden,RW04,6/12/93,-22.42,0.12,12.77,0.12
D40,Dolly varden,RW04,6/12/93,-21.93,0.02,12.75,0.01
D41,Dolly varden,RT19,6/17/93,-22.62,0.13,14.25,0.04
D42,Dolly varden,RT19,6/17/93,-22.73,0.11,14.42,0.15
D43,Dolly varden,RK09,6/27/93,-20.39,0.02,12.46,0.11
D44,Dolly varden,RK09,6/27/93,-23.97,0.04,9.31,0.04
D46,Dolly varden,RK09,6/27/93,-27.23,0.07,9.72,0.09
D47,Dolly varden,RK09,6/27/93,-28.34,0.16,11.21,0.18
D48,Dolly varden,RK09,6/28/93,-25.2,0.03,8.54,0.06
D49,Dolly varden,RK09,7/8/93,-19.34,0.06,12.97,0.17
D50,Dolly varden,RK09,7/8/93,-18.81,0.08,13.25,0.04
D51,Dolly varden,RK09,6/29/93,-25.68,0.13,10.39,0.04
D52,Dolly varden,RK09,6/29/93,-31.14,0.15,9.13,0.04
D53,Dolly varden,RK07,5/19/93,-26.14,0.09,9.64,0.1
D54,Dolly varden,RK07,5/19/93,-22.8,0.02,13.71,0.02
D55,Dolly varden,RP02,5/27/93,-26.58,0.02,11.39,0.16
D56,Dolly varden,RP02,5/25/93,-24.27,0.04,10.8,0.05
D57,Dolly varden,RP02,5/25/93,-21.97,0.07,13.51,0.04
D58,Dolly varden,RK03,7/6/93,-18.55,0.04,12.65,0.09
D59,Dolly varden,RT03,5/19/93,-25.24,0.08,12.69,0.06
D60,Dolly varden,RP06BP,5/27/93,-22.67,0.17,13.56,0.03
D61,Dolly varden,RP06BP,5/27/93,-25.87,0.04,10.54,0.03
D62,Dolly varden,RP06BP,5/27/93,-25.33,0.04,12.01,0.05
D63,Dolly varden,BP01BP,5/15/93,-26.35,0.05,10.63,0.1
D64,Dolly varden,BP01BP,5/15/93,-25.96,0.01,11.52,0.16
D65,Dolly varden,BP01BP,5/15/93,-25.64,0,10.64,0.12
D66,Dolly varden,BP01BP,5/15/93,-26.18,0.01,9.91,0.02
D67,Dolly varden,RT03,5/20/93,-28.12,0.05,11.32,0.06
D68,Dolly varden,RP06BP,5/28/93,-23.18,0.03,13.18,0.13
D69,Dolly varden,RT02R,5/16/93,-21.85,0.07,14.13,0.05
D70,Dolly varden,RT02R,5/16/93,-23.1,0.13,12.24,0.07
D71,Dolly varden,RP06BP,11/12/93,-25.16,0.04,10.87,0.11
D72,Dolly varden,RP06BP,11/12/93,-28.02,0.03,8.52,0.05
D73,Dolly varden,RP06BP,11/12/93,-26.72,0.01,9.16,0.01
D74,Dolly varden,RP06BP,11/12/93,-23.62,0.06,11.81,0.04
D75,Dolly varden,RP06R,11/14/93,-24.5,0.03,12.41,0.09
D76,Dolly varden,RP06R,11/14/93,-24.45,0.02,11.31,0.02
D77,Dolly varden,RK14,11/6/93,-28.84,0.05,11.26,0
D79,Dolly varden,RK14,11/6/93,-22.84,0.11,13.73,0.15
D80,Dolly varden,RK14,11/6/93,-24.97,0.09,12.1,0.11
D81,Dolly varden,RK14,11/7/93,-29.35,0.03,12.17,0.04
D82,Dolly varden,RT02-BP,11/7/93,-38.12,0.13,7.01,0.05
D83,Dolly varden,RT02-BP,11/7/93,-26.51,0.06,8.6,0.05
D84,Dolly varden,RP06,11/12/93,-24.49,0.12,12.33,0.01
D85,Dolly varden,RP06,11/12/93,-23.65,0.1,12.14,0
D86,Dolly varden,RT02-R,11/7/93,-24.55,0.11,12.85,0.04
D87,Dolly varden,RT02-R,11/7/93,-27.79,0.01,9.17,0.07
D88,Dolly varden,RT02-R,11/7/93,-25.58,0.09,8.21,0.04
D89,Dolly varden,RT03,4/21/93,-23.12,0.01,13.55,0.04
D90,Dolly varden,RK02,4/20/93,-21.7,0.06,14.25,0.04
D91,Dolly varden,RT02,4/19/93,-25.8,0.06,10.09,0.05
D92,Dolly varden,RT02,4/19/93,-27.4,0.05,8.2,0.08
D93,Dolly varden,RP06,4/9/93,-23.49,0.09,12.25,0.02
D94,Dolly varden,RP06,4/9/93,-24.91,0.03,7.95,0.09
D95,Dolly varden,RP06,4/9/93,-24.41,0.02,11,0.01
D96,Dolly varden,RK32,10/25/93,-25.33,0.03,7.09,0
D97,Dolly varden,RK32,10/25/93,-27.92,0.01,9.49,0.09
D98,Dolly varden,BP04,10/23/93,-27.8,0.01,12.15,0.04
D99,Dolly varden,BP04,10/23/93,-22.23,0.13,14.4,0.04
P01,Pink,RT02R,4/20/93,-21.83,0.06,12.9,0.13
P02,Pink,RT02R,4/20/93,-22.24,0.06,12.59,0.11
P03,Pink,RT02R,4/20/93,-22.21,0.03,12.49,0.07
P04,Pink,RT02R,4/20/93,-20.72,0.01,12.53,0.02
P05,Pink,RP02,4/8/93,-21.52,0.02,12.42,0.1
P06,Pink,RT19,5/28/93,-22.3,0.01,13.84,0.11
P07,Pink,RT19,5/28/93,-21.67,0.01,13.94,0.01
P08,Pink,RP02,5/27/93,-23.23,0.03,12.03,0.04
P09,Pink,RP02,5/25/93,-22.99,0.04,12.7,0.11
P10,Pink,RP06BP,5/27/93,-22.55,0.06,12.48,0.06
P11,Pink,RP06BP,5/27/93,-22.73,0,12.09,0.03
P12,Pink,?,?,-23.47,0.01,13.77,0.01
P13,Pink,RP06,5/29/93,-22.16,0.07,13.41,0
P14,Pink,RK09,3/31/93,-22.26,0.01,13.95,0.07
P15,Pink,RK09,3/31/93,-21.81,0.05,13.4,0
S01,coastrange sculpin,RK17,11/10/92,-22.72,0,12.25,0.02
S02,coastrange sculpin,RK06,11/9/92,-24.51,0,10.75,0.03
S03,coastrange sculpin,RK04,11/1/92,-22.6,0.11,13.02,0.09
S04,coastrange sculpin,RK05,14-Jun,-24.79,0.06,11.65,11.91
S05,coastrange sculpin,RK05,6/12/92,-23.78,0.12,12.61,0.13
S06,coastrange sculpin,RK17,6/29/92,-22.29,0.04,12.61,0.06
S07,coastrange sculpin,RK16,6/21/92,-23.46,0.16,12.03,0.1
S08,coastrange sculpin,RK16,6/21/92,-23.46,0.09,11.79,0.01
S09,coastrange sculpin,RT03,6/23/92,-21.4,0.18,12.81,0.05
S10,coastrange sculpin,RT03,6/23/92,-22.82,0.09,13.45,0.01
S11,coastrange sculpin,RT12,7/1/92,-21.4,0.02,14.01,0.04
S12,coastrange sculpin,RT12,7/1/92,-24.94,0.09,12.23,0.1
S13,coastrange sculpin,RT12,7/1/92,-22.81,0.04,11.55,0.07
S14,coastrange sculpin,RT02,6/18/92,-23.49,0.12,13.03,0.16
S15,coastrange sculpin,RT02,6/18/92,-24.3,0.12,12.64,0.04
S16,coastrange sculpin,RT02,6/18/92,-24.45,0.11,12.73,0.02
S17,coastrange sculpin,RK14,4/6/93,-25.15,0.14,10.76,0.11
S18,coastrange sculpin,RK14,4/6/93,-22.74,0.02,13.85,0.07
S19,coastrange sculpin,RK14,4/4/93,-22.61,0.09,13.17,0.14
S20,coastrange sculpin,RT02R,4/20/93,-24.23,0.03,12.49,0.13
