Lizard.ID.,Species,Elevation..m.,svl
8,S. occidentalis,904,65
9,S. occidentalis,904,74
10,S. occidentalis,904,75
11,S. occidentalis,904,66
12,S. occidentalis,904,68
13,S. occidentalis,904,69
20,S. occidentalis,904,87
21,S. Occidentalis,904,71
22,S. occidentalis,904,71
23,S. occidentalis,904,75
24,S. occidentalis,904,74
25,S. occidentalis,904,72
32,S. occidentalis,1474,57
33,S. occidentalis,1474,67
34,S. occidentalis,1474,59
35,S. occidentalis,1474,60
36,S. Occidentalis,1474,71
37,S. occidentalis,1474,71
44,S. occidentalis,1474,72
45,S. occidentalis,1474,66
46,S. occidentalis,1474,76
47,S. occidentalis,1474,56
48,S. occidentalis,1474,69
2,S. graciosus,2103,55
3,S. graciosus,2103,55
4,S. graciosus,2103,55
5,S. graciosus,2103,60
6,S. graciosus,2103,55
7,S. graciosus,2103,50
56,S. graciosus,2103,58
59,S. graciosus,2103,57
60,S. graciosus,2103,48
61,S. graciosus,2103,56
82,S. graciosus,2682,52
83,S. graciosus,2682,51
84,S. graciosus,2682,55
85,S. graciosus,2682,61
86,S. graciosus,2682,57
94,S. graciosus,2682,55
95,S. graciosus,2682,57
96,S. graciosus,2682,56
97,S. graciosus,2682,57
98,S. graciosus,2682,54
99,S. graciosus,2682,53
32,S. graciosus,2100,54
33,S. graciosus,2100,53
34,S. graciosus,2100,57
35,S. graciosus,2100,53
36,S. graciosus,2100,61
37,S. graciosus,2100,60
38,graciosus,2100,58
39,S. graciosus,2100,56
40,S. graciosus,2100,61
41,S. graciosus,2100,58
42,S. graciosus,2100,57
43,S. graciosus,2100,61
44,S. graciosus,2100,57
45,S. graciosus,2100,56
46,S. graciosus,2100,53
47,S. graciosus,2100,58
48,S. graciosus,2100,62
49,graciosus,2100,58
50,S. graciosus,2100,58
51,S. graciosus,2100,60
52,S. graciosus,2100,60
53,S. graciosus,2100,61
54,S. graciosus,2100,60
55,S. graciosus,2100,58
56,S. graciosus,2682,61
57,S. graciosus,2682,56
58,S. graciosus,2682,53
59,S. graciosus,2682,53
60,S. graciosus,2682,53
61,S. graciosus,2682,53
62,S. graciosus,2682,56
63,S. graciosus,2682,60
64,S. graciosus,2682,52
65,S. graciosus,2682,56
66,S. graciosus,2682,58
67,S. graciosus,2682,58
68,S. graciosus,2682,54
69,S. graciosus,2682,55
70,S. graciosus,2682,51
71,S. graciosus,2682,58
72,S. graciosus,2682,57
73,S. graciosus,2682,53
120,S. occidentalis,0,71
133,S. occidentalis,0,69
181,S. occidentalis,0,63
229,S. occidentalis,0,67
230,S. occidentalis,0,66
231,S. occidentlis,0,72
232,S. occidentalis,0,70
233,S. occidentalis,0,70
234,S. occidentalis,0,68
236,S. occidentalis,0,75
237,S. occidentalis,0,67
238,S. occidentalis,0,70
240,S. occidentalis,0,71
241,S. occidentalis,0,65
242,S. occidentalis,0,66
243,S. occidentalis,0,66
251,S. occidentalis,0,70
253,S. occidentalis,0,72
255,S. occidentalis,0,73
265,S. occidentalis,0,59
735,S. occidentalis,0,71
209,S. occidentalis,0,62
208,S. occidentalis,0,62
207,S. occidentalis,0,59
206,S. occidentalis,0,57
190,S. occidentalis,0,66
189,S. occidentalis,0,65
188,S. occidentalis,0,76
187,S. occidentalis,0,74
186,S. occidentalis,0,70
180,S. occidentalis,0,70
179,S. occidentalis,0,65
178,S. occidentalis,0,65
177,S. occidentalis,0,70
176,S. occidentalis,0,69
150,S. occidentalis,0,68
149,S. occidentalis,0,65
148,S. occidentalis,0,68
147,S. occidentalis,0,64
146,S. occidentalis,0,64
140,S. occidentalis,0,63
139,S. occidentalis,0,68
138,S. occidentalis,0,68
137,S. occidentalis,0,63
136,S. occidentalis,0,68
130,S. occidentalis,0,67
129,S. occidentalis,0,63
128,S. occidentalis,0,63
127,S. occidentalis,0,62
126,S. occidentalis,0,66
179,S. occidentalis,0,70
346,S. occidentalis,0,68
347,S. occidentalis,0,64
348,S. occidentalis,0,63
349,S. occidentalis,0,66
350,S. occidentalis,0,65
352,S. occidentalis,0,68
353,S. occidentalis,0,63
354,S. occidentalis,0,65
381,S. occidentalis,0,71
426,S. occidentalis,0,60
427,S. occidentalis,0,64
428,S. occidentalis,0,68
429,S. occidentalis,0,68
430,S. occidentalis,0,65
431,S. occidentalis,0,68
432,S. occidentalis,0,68
434,S. occidentalis,0,66
435,S. occidentalis,0,69
2,S. jarrovii,1646,53
12,S. jarrovii,1646,53
20,S. jarrovii,1646,51
25,S. jarrovii,1646,48
45,S. jarrovii,1646,45
46,S.  jarrovii,1646,63
47,S. jarrovii,1646,75
48,S. jarrovii,1646,65
50,S. jarrovii,1646,68
53,S. jarrovii,1646,70
61,S. jarrovii,1646,73
62,S. jarrovii,1646,68
63,S. jarrovii,1646,68
64,S. jarrovii,1646,75
65,S. jarrovii,1646,60
66,S. jarrovii,1646,91
68,S. jarrovii,1646,46
69,S. jarrovii,1646,71
70,S. jarrovii,1646,77
71,S. jarrovii,1646,64
72,S. jarrovii,1646,64
73,S. jarrovii,1646,63
78,S. jarrovii,1646,72
79,S. jarrovii,1646,79
80,S. jarrovii,1646,72
91,S. jarrovii,1646,50
4,S. virgatus,1646,62
5,S. virgatus,1646,55
7,S. virgatus,1646,55
8,S. virgatus,1646,50
9,S. virgatus,1646,60
27,S. virgatus,1646,50
35,S. virgatus,1646,53
36,S. virgatus,1646,52
67,S. virgatus,1646,48
84,S. virgatus,1646,45
94,S. virgatus,1646,58
