"","Lizard.ID.","Species","Elevation..m.","svl","Ctmax"
"1","10_o","S. occidentalis",904,75,40.5
"2","11_o","S. occidentalis",904,66,43.72
"3","12_j","S. jarrovii",1646,53,42.08
"4","12_o","S. occidentalis",904,68,42.73
"5","120_o","S. occidentalis",0,71,42.18
"6","126_o","S. occidentalis",0,66,43.24
"7","127_o","S. occidentalis",0,62,42.17
"8","128_o","S. occidentalis",0,63,41.28
"9","129_o","S. occidentalis",0,63,39.18
"10","13_o","S. occidentalis",904,69,42.28
"11","130_o","S. occidentalis",0,67,43.91
"12","133_o","S. occidentalis",0,69,41.32
"13","136_o","S. occidentalis",0,68,44.01
"14","137_o","S. occidentalis",0,63,39.43
"15","138_o","S. occidentalis",0,68,40.46
"16","139_o","S. occidentalis",0,68,40.03
"17","140_o","S. occidentalis",0,63,42.99
"18","146_o","S. occidentalis",0,64,41.07
"19","147_o","S. occidentalis",0,64,43.06
"20","148_o","S. occidentalis",0,68,42.67
"21","149_o","S. occidentalis",0,65,42.88
"22","150_o","S. occidentalis",0,68,39.19
"23","177_o","S. occidentalis",0,70,40.33
"24","178_o","S. occidentalis",0,65,41.81
"25","179_o","S. occidentalis",0,65,43.35
"26","180_o","S. occidentalis",0,70,41.84
"27","187_o","S. occidentalis",0,74,37.06
"28","188_o","S. occidentalis",0,76,40.59
"29","189_o","S. occidentalis",0,65,40.48
"30","190_o","S. occidentalis",0,66,36.8
"31","2_g","S. graciosus",2103,55,42.87
"32","2_j","S. jarrovii",1646,53,38.01
"33","206_o","S. occidentalis",0,57,43.53
"34","207_o","S. occidentalis",0,59,39.19
"35","208_o","S. occidentalis",0,62,39.08
"36","209_o","S. occidentalis",0,62,43.86
"37","21_o","S. occidentalis",904,71,43.96
"38","22_o","S. occidentalis",904,71,43.5
"39","229_o","S. occidentalis",0,67,43.81
"40","230_o","S. occidentalis",0,66,41.92
"41","231_o","S. occidentalis",0,72,44.93
"42","232_o","S. occidentalis",0,70,42.63
"43","233_o","S. occidentalis",0,70,42.17
"44","234_o","S. occidentalis",0,68,38.05
"45","236_o","S. occidentalis",0,75,42.17
"46","237_o","S. occidentalis",0,67,35.76
"47","238_o","S. occidentalis",0,70,40.27
"48","24_o","S. occidentalis",904,74,40.98
"49","240_o","S. occidentalis",0,71,41.53
"50","241_o","S. occidentalis",0,65,39.31
"51","243_o","S. occidentalis",0,66,42.98
"52","25_j","S. jarrovii",1646,48,37.93
"53","251_o","S. occidentalis",0,70,41.15
"54","253_o","S. occidentalis",0,72,39.57
"55","255_o","S. occidentalis",0,73,40.04
"56","265_o","S. occidentalis",0,59,43.43
"57","27_v","S. virgatus",1646,50,37.68
"58","3_g","S. graciosus",2103,55,40.57
"59","32_g","S. graciosus",2100,54,43.93
"60","32_o","S. occidentalis",1474,57,43.57
"61","33_g","S. graciosus",2100,53,42.24
"62","33_o","S. occidentalis",1474,67,44.49
"63","34_g","S. graciosus",2100,57,42.8
"64","34_o","S. occidentalis",1474,59,41.86
"65","346_o","S. occidentalis",0,68,42.95
"66","347_o","S. occidentalis",0,64,38.91
"67","348_o","S. occidentalis",0,63,44.1
"68","349_o","S. occidentalis",0,66,39.11
"69","35_g","S. graciosus",2100,53,43.37
"70","35_o","S. occidentalis",1474,60,43.13
"71","350_o","S. occidentalis",0,65,41.86
"72","352_o","S. occidentalis",0,68,42.19
"73","353_o","S. occidentalis",0,63,42.1
"74","354_o","S. occidentalis",0,65,41.68
"75","36_g","S. graciosus",2100,61,43.92
"76","36_o","S. occidentalis",1474,71,43.06
"77","37_g","S. graciosus",2100,60,37.13
"78","38_g","S. graciosus",2100,58,40.03
"79","381_o","S. occidentalis",0,71,41.05
"80","39_g","S. graciosus",2100,56,44.56
"81","4_g","S. graciosus",2103,55,43.64
"82","40_g","S. graciosus",2100,61,41.32
"83","41_g","S. graciosus",2100,58,43.72
"84","42_g","S. graciosus",2100,57,43
"85","426_o","S. occidentalis",0,60,40.15
"86","427_o","S. occidentalis",0,64,45.63
"87","428_o","S. occidentalis",0,68,43.98
"88","429_o","S. occidentalis",0,68,44.15
"89","43_g","S. graciosus",2100,61,35.93
"90","430_o","S. occidentalis",0,65,42.82
"91","431_o","S. occidentalis",0,68,34.27
"92","432_o","S. occidentalis",0,68,42.43
"93","435_o","S. occidentalis",0,69,40.89
"94","44_g","S. graciosus",2100,57,42.89
"95","44_o","S. occidentalis",1474,72,41.53
"96","45_g","S. graciosus",2100,56,45.8
"97","45_j","S. jarrovii",1646,45,37.32
"98","45_o","S. occidentalis",1474,66,40.86
"99","46_g","S. graciosus",2100,53,44.29
"100","46_j","S. jarrovii",1646,63,37.37
"101","46_o","S. occidentalis",1474,76,41.19
"102","47_g","S. graciosus",2100,58,43.07
"103","47_j","S. jarrovii",1646,75,30.82
"104","47_o","S. occidentalis",1474,56,42.12
"105","48_g","S. graciosus",2100,62,43.39
"106","48_j","S. jarrovii",1646,65,37.52
"107","48_o","S. occidentalis",1474,69,43.89
"108","49_g","S. graciosus",2100,58,42.12
"109","49_o","S. occidentalis",1474,69,43.29
"110","5_g","S. graciosus",2103,60,42.68
"111","50_g","S. graciosus",2100,58,44.53
"112","50_j","S. jarrovii",1646,68,33.23
"113","51_g","S. graciosus",2100,60,44.35
"114","52_g","S. graciosus",2100,60,42.93
"115","53_g","S. graciosus",2100,61,42.71
"116","53_j","S. jarrovii",1646,70,37.24
"117","54_g","S. graciosus",2100,60,43.98
"118","55_g","S. graciosus",2100,58,42.71
"119","56_g","S. graciosus",2103,58,44.55
"120","57_g","S. graciosus",2682,56,40.3
"121","58_g","S. graciosus",2682,53,41.9
"122","58_o","S. occidentalis",2103,81,42.86
"123","59_g","S. graciosus",2103,57,43.9
"124","6_g","S. graciosus",2103,55,39.64
"125","60_g","S. graciosus",2103,48,40.75
"126","61_g","S. graciosus",2103,56,42.92
"127","61_j","S. jarrovii",1646,73,33
"128","62_g","S. graciosus",2682,56,40.2
"129","62_j","S. jarrovii",1646,68,30.32
"130","63_g","S. graciosus",2682,60,42.15
"131","63_j","S. jarrovii",1646,68,32.81
"132","64_g","S. graciosus",2682,52,43.27
"133","64_j","S. jarrovii",1646,75,38.73
"134","65_j","S. jarrovii",1646,60,32.71
"135","65_o","S. occidentalis",2103,82,43.73
"136","66_g","S. graciosus",2682,58,41.27
"137","66_j","S. jarrovii",1646,91,29.34
"138","66_o","S. occidentalis",2103,59,43.34
"139","67_g","S. graciosus",2682,58,43.56
"140","67_o","S. occidentalis",2103,62,41.99
"141","68_g","S. graciosus",2682,54,43.76
"142","68_j","S. jarrovii",1646,46,37.01
"143","69_g","S. graciosus",2682,55,44.41
"144","69_j","S. jarrovii",1646,71,32.76
"145","7_g","S. graciosus",2103,50,42.45
"146","7_v","S. virgatus",1646,55,41.74
"147","70_g","S. graciosus",2682,51,44.45
"148","70_o","S. occidentalis",2103,65,42.06
"149","71_g","S. graciosus",2682,58,43.95
"150","71_j","S. jarrovii",1646,64,34.44
"151","72_g","S. graciosus",2682,57,44.8
"152","72_j","S. jarrovii",1646,64,37.73
"153","73_g","S. graciosus",2682,53,43.81
"154","73_j","S. jarrovii",1646,63,36.17
"155","735_o","S. occidentalis",0,71,43.04
"156","78_j","S. jarrovii",1646,72,28.78
"157","79_j","S. jarrovii",1646,79,33.58
"158","8_o","S. occidentalis",904,65,40.54
"159","80_j","S. jarrovii",1646,72,33.59
"160","82_g","S. graciosus",2682,52,42.17
"161","83_g","S. graciosus",2682,51,41.12
"162","84_g","S. graciosus",2682,55,43.15
"163","85_g","S. graciosus",2682,61,42.97
"164","86_g","S. graciosus",2682,57,42.34
"165","9_o","S. occidentalis",904,74,42.68
"166","91_j","S. jarrovii",1646,50,40.24
"167","94_g","S. graciosus",2682,55,39.82
"168","94_v","S. virgatus",1646,58,37.77
"169","95_g","S. graciosus",2682,57,42.31
"170","96_g","S. graciosus",2682,56,40.54
"171","97_g","S. graciosus",2682,57,41.78
"172","98_g","S. graciosus",2682,54,43.13
"173","99_g","S. graciosus",2682,53,42.37
