gene_id	ERR188245	ERR188428	ERR188337	ERR188401	ERR188257	ERR188383	ERR204916	ERR188234	ERR188273	ERR188454	ERR188104	ERR188044
NM_001242640|BRCC3	520	313	737	737	614	304	312	574	83	358	495	401
NM_001356|DDX3X	203	336	312	312	239	37	129	432	44	32	879	102
NM_000489|ATRX	1260	3278	3919	3919	4098	3632	4259	1946	1692	2501	5921	4909
NM_000116|TAZ	207	282	562	562	286	389	468	598	130	263	430	432
NM_016024|RBMX2	1072	1164	1849	1849	1356	1752	1430	1453	765	1292	1843	1626
NR_029635|MIR221	1	2	8	8	5	2	3	3	2	2	10	6
NM_006875|PIM2	17733	5928	10205	10205	8370	7604	8723	12487	4044	12226	8371	6617
NM_001170649|LAS1L	1846	1437	3117	3117	2474	2408	1903	3390	1147	1854	2337	2519
NM_206915|NGFRAP1	58	38	263	263	46	44	116	79	17	58	68	48
NM_004299|ABCB7	127	829	1627	1627	827	1289	1032	882	495	869	1330	1256
NM_031407|HUWE1	21217	30040	51182	51182	27082	22102	34748	39012	17584	26130	41348	43076
NM_001166704|FAM104B	45	41	47	47	52	22	34	71	18	54	59	37
NM_005676|RBM10	1609	1165	1237	1237	1254	1251	1680	1963	463	1011	928	1332
NM_133486|MBNL3	1000	341	1168	1168	436	2091	875	915	8	903	1497	1546
NM_182540|DDX26B	1019	957	1586	1586	1439	1404	1413	1928	862	2161	1829	2422
NM_017938|TMEM255A	52	153	287	287	257	180	172	144	11	6	4	240
NM_000202|IDS	5144	3952	10182	10182	7730	7277	9983	9157	3919	10177	8455	5314
NM_001080485|ZNF275	1448	1470	1979	1979	1925	2300	2787	3649	1249	2676	3411	2711
NM_004135|IDH3G	2429	1661	3268	3268	2051	2393	3059	3863	1308	2847	2907	3827
NM_016032|ZDHHC9	595	500	975	975	563	693	830	950	243	709	929	820
NM_001135565|PUDP	288	13	297	297	3	2	394	415	216	265	7	430
NM_007363|NONO	15890	16247	27492	27492	18590	15801	18439	31961	12681	17361	23572	25734
NM_017518|HAUS7	898	669	1634	1634	933	844	853	1241	423	711	773	999
NM_138737|HEPH	33	7	192	192	42	59	274	1	22	122	110	437
NM_001195214|YIPF6	1	45	42	42	38	43	3	43	50	2	77	2
